firm,year,sector,region,dim4_firm,y_pivot_5yr,notes
Blockbuster,2004,media-rental,US,1.20,1,"Collapse; bankruptcy 2010"
Sears,2005,retail,US,1.18,1,"Long decline; bankruptcy 2018"
Kodak,1997,imaging,US,1.17,1,"Failed digital transition; bankruptcy 2012"
Polaroid,2001,imaging,US,1.15,1,"Bankruptcy 2001; second bankruptcy 2008"
BlackBerry,2008,mobile,CA,1.16,1,"Lost smartphone dominance (2010–2013)"
Nokia,2007,mobile,FI,1.15,1,"Collapsed after iPhone disruption"
RadioShack,2005,retail-electronics,US,1.14,1,"Bankruptcy 2015"
AOL Time Warner,2002,media,US,1.12,1,"Disastrous merger; breakup by 2009"
HTC,2011,mobile,TW,1.12,1,"Collapsed as Android OEM (2014–2016)"
Intel,2008,semiconductors,US,1.11,1,"Exited handset modems; lost mobile era"
Micron,2018,semiconductors,US,1.10,1,"Exiting consumer SSD/RAM by 2025–2026"
Tower Records,2004,music-retail,US,1.10,1,"Bankruptcy 2006"
Toys R Us,2005,retail,US,1.09,1,"Bankruptcy 2017"
Circuit City,2005,retail-electronics,US,1.08,1,"Bankruptcy 2009"
Hertz,2020,car-rental,US,1.08,1,"Bankruptcy 2020"
Borders,2005,retail-books,US,1.07,1,"Bankruptcy 2011"
Nortel,2005,telecom-equipment,CA,1.06,1,"Bankruptcy 2009"
Palm,2006,mobile,US,1.06,1,"Acquired and killed by HP 2010"
Debenhams,2018,retail,UK,1.06,1,"Liquidated 2021"
Motorola Mobility,2007,mobile,US,1.05,1,"Sold to Google then Lenovo"
Thomas Cook,2018,travel,UK,1.05,1,"Collapsed 2019"
Sun Microsystems,2005,servers,US,1.04,1,"Acquired by Oracle 2010"
Forever 21,2019,apparel,US,1.03,1,"Bankruptcy 2019"
Compaq,1998,PC,US,1.03,1,"Merged into HP 2002; brand erased"
General Electric,2015,conglomerate,US,1.02,1,"Power/finance implosion"
Pier 1 Imports,2019,retail-home,US,1.01,1,"Bankruptcy 2020"
Lehman Brothers,2007,finance,US,1.01,1,"Bankruptcy 2008"
Gap,2020,apparel,US,1.00,1,"Brand erosion; pivot failure"
Enron,2000,energy,US,1.00,1,"Fraud; bankruptcy 2001"
NIO,2024,automotive,CN,1.00,1,"Competition + losses"
Ascena Retail,2020,apparel,US,0.99,1,"Bankruptcy 2020"
MySpace,2008,social-media,US,0.99,1,"Collapsed by 2010"
Nordstrom,2020,retail,US,0.98,1,"Struggling with off-price shift"
AOL,2005,internet,US,0.98,1,"Declined after 2009"
XPeng,2024,automotive,CN,0.98,1,"Competitive pressure"
Netscape,1998,browser,US,0.97,1,"Killed by Internet Explorer"
Vine,2016,social-video,US,0.97,1,"Shutdown 2016"
Sony Ericsson,2010,mobile,JP,0.96,1,"Sony bought out; brand ended"
Friendster,2008,social-media,US,0.96,1,"Collapsed by 2009"
Wang Laboratories,1988,computers,US,0.96,1,"Bankruptcy 1992"
Orkut,2011,social-media,BR,0.95,1,"Shutdown by Google 2014"
Digital Equipment Corp,1992,computers,US,0.95,1,"Acquired by Compaq"
Solyndra,2010,solar,US,0.94,1,"Bankruptcy 2011"
Geocities,2009,web-hosting,US,0.94,1,"Shutdown 2009"
Quibi,2020,streaming,US,0.91,1,"Shutdown in 6 months"
Boo.com,1999,ecommerce-fashion,UK,0.91,1,"Bankruptcy 2000"
Pets.com,2000,ecommerce,US,0.93,1,"Bankruptcy 2000"
Webvan,2000,grocery-delivery,US,0.92,1,"Bankruptcy 2001"
WeWork,2019,real-estate,US,0.92,1,"Near-collapse 2019–2023"
Fairchild Semiconductor,2015,semiconductors,US,0.92,1,"Acquired/dissolved 2016"
BP,2015,oil,UK,0.92,0,"Deepwater Horizon + Russia exit + survived"
Meta,2018,social-media,US,0.92,0,"Scandals but retained dominance"
Uber,2019,ride-hailing,US,0.88,0,"Losses but path to profitability"
Airbnb,2019,travel,US,0.85,0,"Recovered after COVID"
Tesla,2018,automotive,US,0.85,0,"Production hell but survived"
Li Auto,2024,automotive,CN,0.85,0,"Profitable Chinese EV maker"
Best Buy,2020,retail-electronics,US,0.88,0,"Survived when expected to fail"
Nvidia,2010,semiconductors,US,0.68,0,"Gaming → AI transition success"
Amazon,2014,ecommerce/cloud,US,0.62,0,"AWS dominance"
Apple,2005,consumer-electronics,US,0.50,0,"iPhone pivot success"
Samsung,2008,consumer-electronics,KR,0.55,0,"Global smartphone leader"
Sony,2012,consumer-electronics,JP,0.74,0,"Successful turnaround"
Nintendo,2015,gaming,JP,0.65,0,"Switch revival"
Toyota,2008,automotive,JP,0.40,0,"Stable global leader"
Costco,2008,retail,US,0.35,0,"High-trust model"
Microsoft,2010,software,US,0.45,0,"Azure pivot success"
Google,2010,search/cloud,US,0.48,0,"Android + YouTube scaling"
Netflix,2011,streaming,US,0.82,0,"Recovered after Qwikster flop"
TSMC,2010,semiconductors,TW,0.58,0,"Global foundry dominance"
ASML,2010,semiconductor-equipment,NL,0.60,0,"EUV monopoly"
ServiceNow,2018,cloud-software,US,0.75,0,"Workflow platform leader"
Salesforce,2010,cloud-software,US,0.55,0,"Enterprise cloud leader"
Visa,2010,payments,US,0.45,0,"Network-effect moat"
Mastercard,2010,payments,US,0.46,0,"Global payment dominance"
LVMH,2010,luxury,FR,0.50,0,"Luxury global dominance"
Hermes,2010,luxury,FR,0.45,0,"Ultra-premium growth"
Disney,2015,media,US,0.72,0,"Disney+ success"
Spotify,2018,music-streaming,SE,0.75,0,"Scaled to profitability"
Pfizer,2010,pharma,US,0.70,0,"COVID vaccine + stable revenue"
Moderna,2020,biotech,US,0.68,0,"mRNA platform success"
Shell,2015,energy,UK,0.82,0,"Stable transition strategy"
ExxonMobil,2015,oil,US,0.88,0,"Survived energy volatility"
Chevron,2015,oil,US,0.85,0,"Discipline + stability"